hotkey,competition_id,task_id,task_name,is_screener,task_pass_wo,task_pass_w,baseline_tokens,task_tokens_w,task_platform_score,run_count,attempt_no,run_id,run_pass_w,run_tokens_w,run_score,time_taken_seconds,agent_steps
5DhHqmB1BzyW6qsZ44EhajM8dXKChxRqB7vqZTwojm1WwsSz,107,217,Will be available after uploads finish,False,True,True,1126760,976794.2,1.0731797302755806,5,1,51177,True,729866,1.1729998137467397,453.9789,35
5DhHqmB1BzyW6qsZ44EhajM8dXKChxRqB7vqZTwojm1WwsSz,107,217,Will be available after uploads finish,False,True,True,1126760,976794.2,1.0731797302755806,5,2,51178,True,875699,1.0819190792793205,496.2933,32
5DhHqmB1BzyW6qsZ44EhajM8dXKChxRqB7vqZTwojm1WwsSz,107,217,Will be available after uploads finish,False,True,True,1126760,976794.2,1.0731797302755806,5,3,51179,True,1787980,0.7250094065770035,554.6138,42
5DhHqmB1BzyW6qsZ44EhajM8dXKChxRqB7vqZTwojm1WwsSz,107,217,Will be available after uploads finish,False,True,True,1126760,976794.2,1.0731797302755806,5,4,51180,True,997335,1.0168869307973616,512.9415,50
5DhHqmB1BzyW6qsZ44EhajM8dXKChxRqB7vqZTwojm1WwsSz,107,217,Will be available after uploads finish,False,True,True,1126760,976794.2,1.0731797302755806,5,5,51181,True,493091,1.369083420977477,333.1177,34
5DhHqmB1BzyW6qsZ44EhajM8dXKChxRqB7vqZTwojm1WwsSz,107,218,Will be available after uploads finish,False,False,True,1584982,705874,2.9169153329096535,5,1,51182,True,977192,3.6046454152246845,550.3634,41
5DhHqmB1BzyW6qsZ44EhajM8dXKChxRqB7vqZTwojm1WwsSz,107,218,Will be available after uploads finish,False,False,True,1584982,705874,2.9169153329096535,5,2,51183,True,1305038,3.459993272518448,595.2362,47
5DhHqmB1BzyW6qsZ44EhajM8dXKChxRqB7vqZTwojm1WwsSz,107,218,Will be available after uploads finish,False,False,True,1584982,705874,2.9169153329096535,5,3,51184,False,547745,-0.7196004115838943,406.9016,27
5DhHqmB1BzyW6qsZ44EhajM8dXKChxRqB7vqZTwojm1WwsSz,107,218,Will be available after uploads finish,False,False,True,1584982,705874,2.9169153329096535,5,4,51185,True,236795,4.260982771715852,355.235,13
5DhHqmB1BzyW6qsZ44EhajM8dXKChxRqB7vqZTwojm1WwsSz,107,218,Will be available after uploads finish,False,False,True,1584982,705874,2.9169153329096535,5,5,51186,True,462600,3.9785556166731766,380.2491,25
